fuente,nit,nit-razon social,Sector,ut,ventas
,800015713,800015713 - Invermont Sociedad Por Acciones Simplificada,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,843
,800015774,800015774 - B & C S.A.,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,,5424
,800015819,800015819 - Leones Futbol Cluv Sa,R9312 - Actividades de clubes deportivos,,5253
,800015884,800015884 - Iinversiones Garcia Castellanos Limitada,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,334
,800015963,800015963 - Metalquimica Colombiana Limitada,"C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",,5360
,800016006,800016006 - Inversiones Arcila Wohkmuth Y Cia S En C,"S9601 - Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel",,245
,800016107,800016107 - Inversiones Casa Imperial Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1260
,800016116,800016116 - Juimanca Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,2345
,800016163,800016163 - Racyma Y Cia Ltda,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",,888
,800016289,800016289 - Inversiones Dinastia Sas,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos, muebles y equipos de iluminación en establecimientos especializados",,2773
,800016390,800016390 - Tahami &Cultiflores A En Reorganizacion,A0125 - Cultivo de flor de corte,,5619
,800016505,800016505 - Inparme Sas,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,27070
,800016656,800016656 - Valandes Sas,A0141 - Cría de ganado bovino y bufalino,,1624
,800016744,800016744 - Inversiones Quirigua Ltda,G4731 - Comercio al por menor de combustible para automotores,,10576
,800016920,800016920 - Equiser  Sas,F4111 - Construcción de edificios residenciales,,302
,800016957,800016957 - Amortiautos Sas,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",,1710
,800017087,800017087 - Francisco Martinez Sas,C2511 - Fabricación de productos metálicos para uso estructural,,982
,800017180,800017180 - Especial Impresores Sas,C1811 - Actividades de impresión,,9339
,800017765,800017765 - Coltehilos Sas,C1312 - Tejeduría de productos textiles,,924
,800017766,800017766 - Pintu Special Sas,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",,18221
,800017779,800017779 - Tevesan S.A.S.,J6010 - Actividades de programación y transmisión en el servicio de radiodifusión sonora,,12443
,800018143,800018143 - Construciones Laja Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,749
