fuente,nit,nit-razon social,Sector,ut,ventas
Clientes,900733568,900733568 - Getcom Servicios S.A.S.,N8220 - Actividades de centros de llamadas (call center),723.0,68751
Clientes,890928257,890928257 - Alico Sas Bic,C2229 - Fabricación de artículos de plástico n.c.p.,701.0,356534
prospectos,800081664,800081664 - Distribuidora Colombiana De Sentimientos De Belleza S.A.S.,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,700.0,137179
prospectos,800120681,800120681 - Croydon Colombia Sa,"C1522 - Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",700.0,339342
Clientes,811030714,811030714 - Centro De Sistemas De Antioquia S.A.S.,P8551 - Formación para el trabajo,700.0,29996
prospectos,830142431,830142431 - Red Latinoamericana De Ingenieria Sas,N8220 - Actividades de centros de llamadas (call center),700.0,16458
Clientes,830112413,830112413 - Kpmg Shared Services Sas,M7020 - Actividades de consultoría de gestión,690.0,26581
Clientes,900217771,900217771 - Antioquia Gold Ltd,B0722 - Extracción de oro y otros metales preciosos,668.0,267280
prospectos,860005813,860005813 - Deloitte & Touche S.A.S,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",650.0,137213
prospectos,900022972,900022972 - Ceiba Software,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",630.0,78726
Clientes,800011002,800011002 - Tecnas S.A,C1089 - Elaboración de otros productos alimenticios n.c.p.,623.0,164302
prospectos,900512356,900512356 - Capgemini Colombia Sas,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",607.0,88932
Clientes,800004800,800004800 - Importadora Celeste Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",604.0,73607
Clientes,800159100,800159100 - Manpower Professional Ltda,N7830 - Otras actividades de provisión de talento humano,600.0,127637
prospectos,800217975,800217975 - Servicios Geologicos Integrados Sas,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,600.0,90406
prospectos,802021332,802021332 - Clinica Centro Sa,"Q8610 - Actividades de hospitales y clínicas, con internación",600.0,105201
Clientes,811007713,811007713 - Sistecredito Sas,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",600.0,147776
prospectos,830039329,830039329 - Image Quality Outsourcing Sas,"J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",600.0,117413
prospectos,830104929,830104929 - Logistica Repremundo Sas,H4923 - Transporte de carga por carretera,600.0,15853
prospectos,890101815,890101815 - Johnson & Johnson De Colombia Sa,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",600.0,1079217
prospectos,890300225,890300225 - Coexito Sas,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",600.0,664862
prospectos,890327282,890327282 - Autopacifico Sas,G4511 - Comercio de vehículos automotores nuevos,600.0,312155
Clientes,890916883,890916883 - Manpower De Colombia Ltda,N7820 - Actividades de empresas de servicios temporales,600.0,383854
prospectos,900868271,900868271 - Decathlon Colombia Sas,"G4762 - Comercio al por menor de artículos deportivos, en establecimientos especializados",600.0,267173
prospectos,901284129,901284129 - Nu Colombia Sa,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",600.0,205804
Clientes,900662390,900662390 - Prever Prevision General Sas,S9603 - Pompas fúnebres y actividades relacionadas,578.0,31512
Clientes,900203566,900203566 - Abastecemos De Occidente Sas,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",571.0,327862
prospectos,860000452,860000452 - Manufacturas Eliot Sas,C1312 - Tejeduría de productos textiles,570.0,919604
Clientes,890902165,890902165 - Laboratorio Profesional Farmaceutico S.A.S.,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",562.0,221838
prospectos,900591195,900591195 - Excelcredit Sa,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",560.0,88834
prospectos,860074450,860074450 - Quala S.A,C1089 - Elaboración de otros productos alimenticios n.c.p.,550.0,1326190
Clientes,890926257,890926257 - Inmel Ingenerieria Sas,F4321 - Instalaciones eléctricas,550.0,236486
Clientes,800027374,800027374 - Ci Tecnologia Alimentaria Sas,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,527.0,102348
Clientes,900073391,900073391 - Kimautos Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",523.0,37417
Clientes,890942047,890942047 - Importadora Japon Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",519.0,60457
Clientes,800095007,800095007 - Importadora Nipon Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",512.0,79407
prospectos,800171338,800171338 - Soplascol Sas,C2229 - Fabricación de artículos de plástico n.c.p.,500.0,19613
Clientes,800180330,800180330 - Compañia De Alimentos Colombianos Calco S.A.,I5611 - Expendio a la mesa de comidas preparadas,500.0,170835
prospectos,800249313,800249313 - Mansarovar Energy Colombia Ltd,B0610 - Extracción de petróleo crudo,500.0,516212
prospectos,805014583,805014583 - Temporales Especializados Sa,N7820 - Actividades de empresas de servicios temporales,500.0,21267
Clientes,811000340,811000340 - Laboratorios Funat Sas,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",500.0,68081
prospectos,811011779,811011779 - Renting Colombia Sas,N7710 - Alquiler y arrendamiento de vehículos automotores,500.0,1482409
Clientes,811022382,811022382 - Personal Soft S.A.S,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",500.0,83397
prospectos,830011068,830011068 - Avaya Communication De Colombia Sa,S9512 - Mantenimiento y reparación de equipos de comunicación,500.0,85097
prospectos,830023404,830023404 - Act Telematica Sa,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,500.0,19567
prospectos,830058216,830058216 - Universal Pack Group S.A.S En Reorganización,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,500.0,10437
Clientes,830059718,830059718 - Aecsa Sas,M6910 - Actividades jurídicas,500.0,172497
prospectos,860005114,860005114 - Messer Colombia S.A.,C2011 - Fabricación de sustancias y productos químicos básicos,500.0,455204
Clientes,860005289,860005289 - Ascensores Schindler De Colombia Sas,F4329 - Otras instalaciones especializadas,500.0,115736
prospectos,860015118,860015118 - Continautos Sas,G4511 - Comercio de vehículos automotores nuevos,500.0,362387
prospectos,860020308,860020308 - Cometibles Ricos Sa,C1089 - Elaboración de otros productos alimenticios n.c.p.,500.0,257613
prospectos,860069804,860069804 - Carbones Del Cerrejon Limited,B0510 - Extracción de hulla (carbón de piedra),500.0,7634688
prospectos,860500480,860500480 - Almacenes Corona Sas,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",500.0,297611
Clientes,890105652,890105652 - Royal Films Sas,I5612 - Expendio por autoservicio de comidas preparadas,500.0,137230
prospectos,890312779,890312779 - S&A Servicios Y Asesorias  Sas  Bic,N7820 - Actividades de empresas de servicios temporales,500.0,134341
prospectos,890900115,890900115 - A Laumayer Y Compañia Exportadores De Cafe S.A.S.,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,500.0,419387
prospectos,890901475,890901475 - Distribuidora Farmaceutica Roma Sa,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",500.0,206646
prospectos,890901756,890901756 - Hacienda Velaba S.A.S,A0122 - Cultivo de plátano y banano,500.0,37959
prospectos,900166687,900166687 - Continental Gold Limited Sucursal Colombia,B0722 - Extracción de oro y otros metales preciosos,500.0,1735401
prospectos,900388839,900388839 - Hada International S.A.S,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",500.0,419944
prospectos,900402212,900402212 - Zonamerica Usuario Operador De Zona Franca Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,500.0,10495
prospectos,900466209,900466209 - Porsche Colombia Sas,G4511 - Comercio de vehículos automotores nuevos,500.0,1089707
prospectos,900520035,900520035 - Polnac De Colombia Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",500.0,6282
prospectos,900557875,900557875 - Novo Nordisk Colombia Sas,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",500.0,467552
prospectos,900955679,900955679 - Endava S.A.S.,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",500.0,100143
prospectos,901095468,901095468 - Bkal S.A.S,I5612 - Expendio por autoservicio de comidas preparadas,500.0,72343
prospectos,901217782,901217782 - Hupecol Andes Production Company Llc Sucursal Colombia,B0610 - Extracción de petróleo crudo,500.0,42570
prospectos,900068328,900068328 - Colfactory Sa,"C1410 - Confección de prendas de vestir, excepto prendas de piel",492.0,23274
prospectos,800024095,800024095 - Manitoba Sas,C1089 - Elaboración de otros productos alimenticios n.c.p.,483.0,158312
prospectos,901154324,901154324 - Km2 Solutions Colombia Sas,N8220 - Actividades de centros de llamadas (call center),480.0,36741
Clientes,830041488,830041488 - Alfa Trading Sas,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",460.0,164856
prospectos,800206842,800206842 - Baker Hughes De Colombia,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,456.0,905714
Clientes,800019102,800019102 - Interasesores Asesores Empresariales Administrativos Sa  Interasesores Asesores Empresariales Administrativos Sa,P8530 - Establecimientos que combinan diferentes niveles de educación,450.0,58092
prospectos,801002644,801002644 - Materiales Emo Sas,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",450.0,157125
Clientes,890922549,890922549 - Premex S.A.S,C1090 - Elaboración de alimentos preparados para animales,450.0,356462
Clientes,900744272,900744272 - Hy Cite Enterprises Colombia Sas,G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico,450.0,167751
prospectos,901324826,901324826 - Scala Colombia Sas,P8559 - Otros tipos de educación n.c.p.,450.0,48128
prospectos,830142761,830142761 - Carbones Andinos S.A.S.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",435.0,517942
prospectos,800200934,800200934 - Tetra Pak Ltda Bic,G4669 - Comercio al por mayor de otros productos n.c.p.,420.0,339293
prospectos,811025662,811025662 - Becker Y Associates S.A.S,"M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria",420.0,4029
Clientes,900393381,900393381 - Awp Colombia Sas,"H5221 - Actividades de estaciones, vías y servicios complementarios para el transporte terrestre",417.0,22583
prospectos,860058553,860058553 - Colegio Gimnasio Vermont S.A.,P8530 - Establecimientos que combinan diferentes niveles de educación,410.0,60287
Clientes,900206408,900206408 - Team Communications S.A,"G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",410.0,87386
Clientes,901035279,901035279 - Mujer Latina De Colombia Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",410.0,31321
prospectos,800052534,800052534 - Distribuciones Axa Sas,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",400.0,362855
