PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,830039329,830039329 - Image Quality Outsourcing Sas,"J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",600,$587064,$117413,$79501,$118640,$103914
prospectos,830104929,830104929 - Logistica Repremundo Sas,H4923 - Transporte de carga por carretera,600,$15853,$15853,$2344,$1173,$6900
prospectos,890101815,890101815 - Johnson & Johnson De Colombia Sa,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",600,$5396085,$1079217,$2364599,$203837,$2116495
prospectos,890300225,890300225 - Coexito Sas,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",600,$3324312,$664862,$939236,$160017,$1026311
prospectos,890302955,890302955 - Recamier S.A.,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",600,,,$0,$47497,$57050
prospectos,890327282,890327282 - Autopacifico Sas,G4511 - Comercio de vehículos automotores nuevos,600,$1248621,$312155,$198977,$103193,$202236
Clientes,890916883,890916883 - Manpower De Colombia Ltda,N7820 - Actividades de empresas de servicios temporales,600,$1919272,$383854,$158396,$20118,$185202
prospectos,900868271,900868271 - Decathlon Colombia Sas,"G4762 - Comercio al por menor de artículos deportivos, en establecimientos especializados",600,$1335863,$267173,$568040,$479246,$182380
prospectos,901284129,901284129 - Nu Colombia Sa,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",600,$411609,$205804,$0,$2407469,$949511
Clientes,900662390,900662390 - Prever Prevision General Sas,S9603 - Pompas fúnebres y actividades relacionadas,578,$94535,$31512,$54328,$6171,$16919
Clientes,900203566,900203566 - Abastecemos De Occidente Sas,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",571,$1311449,$327862,$167483,$19930,$186770
prospectos,860000452,860000452 - Manufacturas Eliot Sas,C1312 - Tejeduría de productos textiles,570,$5517624,$919604,$1437040,$2922156,$2541122
Clientes,890902165,890902165 - Laboratorio Profesional Farmaceutico S.A.S.,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",562,$887353,$221838,$244092,$286103,$255107
prospectos,900591195,900591195 - Excelcredit Sa,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",560,$444171,$88834,$0,$669155,$487546
prospectos,860074450,860074450 - Quala S.A,C1089 - Elaboración de otros productos alimenticios n.c.p.,550,$6630952,$1326190,$2271607,$529318,$3819728
Clientes,890926257,890926257 - Inmel Ingenerieria Sas,F4321 - Instalaciones eléctricas,550,$472972,$236486,$55770,$124121,$137230
Clientes,800027374,800027374 - Ci Tecnologia Alimentaria Sas,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,527,$204695,$102348,$68756,$26999,$103631
Clientes,900073391,900073391 - Kimautos Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",523,$149670,$37417,$45809,$1028,$29475
Clientes,890942047,890942047 - Importadora Japon Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",519,$241829,$60457,$66687,$27521,$58794
Clientes,800095007,800095007 - Importadora Nipon Sa,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",512,$317627,$79407,$79805,$22153,$54972
prospectos,800171338,800171338 - Soplascol Sas,C2229 - Fabricación de artículos de plástico n.c.p.,500,$156906,$19613,$40051,$162853,$279409
Clientes,800180330,800180330 - Compañia De Alimentos Colombianos Calco S.A.,I5611 - Expendio a la mesa de comidas preparadas,500,$683341,$170835,$376192,$63663,$118461
prospectos,800249313,800249313 - Mansarovar Energy Colombia Ltd,B0610 - Extracción de petróleo crudo,500,$2581058,$516212,$1273004,,$38921
prospectos,805014583,805014583 - Temporales Especializados Sa,N7820 - Actividades de empresas de servicios temporales,500,$85069,$21267,$6814,$413,$18567
Clientes,811000340,811000340 - Laboratorios Funat Sas,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",500,$272323,$68081,$146661,$66963,$59792
prospectos,811011779,811011779 - Renting Colombia Sas,N7710 - Alquiler y arrendamiento de vehículos automotores,500,$1482409,$1482409,$417408,$1922975,$366993
Clientes,811022382,811022382 - Personal Soft S.A.S,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",500,$333589,$83397,$326536,$14211,$64250
prospectos,830011068,830011068 - Avaya Communication De Colombia Sa,S9512 - Mantenimiento y reparación de equipos de comunicación,500,$425487,$85097,$124115,$969,$36613
prospectos,830023404,830023404 - Act Telematica Sa,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,500,$78266,$19567,$22014,$2870,$35364
prospectos,830058216,830058216 - Universal Pack Group S.A.S En Reorganización,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,500,$41749,$10437,$6813,$8282,$14901
Clientes,830059718,830059718 - Aecsa Sas,M6910 - Actividades jurídicas,500,$862486,$172497,$310349,$179158,$376402
prospectos,860005114,860005114 - Messer Colombia S.A.,C2011 - Fabricación de sustancias y productos químicos básicos,500,$2276021,$455204,$991376,$69840,$1515603
Clientes,860005289,860005289 - Ascensores Schindler De Colombia Sas,F4329 - Otras instalaciones especializadas,500,$578681,$115736,$276769,$13044,$319116
