PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,890707192,890707192 - Ucampo-Sullanta Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",150,$747543,$186886,$103429,$172992,$173921
prospectos,890804199,890804199 - Productora De Alambres Colombianos Proalco Sas,C2410 - Industrias básicas de hierro y de acero,150,$2074966,$414993,$254882,$330954,$375663
prospectos,900239671,900239671 - Praxair Gases Industriales Ltda,C2011 - Fabricación de sustancias y productos químicos básicos,150,$244498,$61124,$99821,$0,$108136
prospectos,900585118,900585118 - Zorba Lacteos Sas,C1040 - Elaboración de productos lácteos,150,$41013,$10253,$20194,$1920,$21491
prospectos,900759679,900759679 - Distribuidora Hino De Colombia Sas,G4511 - Comercio de vehículos automotores nuevos,150,$1317219,$263444,$185694,$58955,$299068
prospectos,900962559,900962559 - Ecomedics Sas,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",150,$86685,$21671,($7756),$343235,$182589
prospectos,901078063,901078063 - Cpl Aromas Sas,C2029 - Fabricación de otros productos químicos n.c.p.,150,$139492,$46497,$65098,,$101525
prospectos,901121179,901121179 - Canpack Colombia Sas,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,150,$2781843,$556369,$783444,$470881,$1177440
prospectos,901260104,901260104 - Ecopulpack Sas,C1709 - Fabricación de otros artículos de papel y cartón,150,$86826,$28942,$8395,$8230,$3904
prospectos,830010438,830010438 - Servicios Alimenticios Aldimark Sas,I5611 - Expendio a la mesa de comidas preparadas,140,$141900,$35475,$25156,$25421,$5975
Clientes,800113677,800113677 - Petrolabin Sas,F4290 - Construcción de otras obras de ingeniería civil,133,$185306,$46327,$29792,$29722,$255027
Clientes,804011804,804011804 - Copower Limitada,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,131,$198541,$66180,$39964,$77933,$71790
prospectos,900208445,900208445 - Ceramica San Lorenzo Industrial De Colombia Sas,C2392 - Fabricación de materiales de arcilla para la construcción,130,$1094106,$273526,$495755,$43942,$1074028
prospectos,800089522,800089522 - Diateco Sas,F4210 - Construcción de carreteras y vías de ferrocarril,120,$362011,$90503,$79070,$21726,$109449
prospectos,804002724,804002724 - Fersautos Sas,G4511 - Comercio de vehículos automotores nuevos,120,$340640,$85160,$52182,$110012,$118765
prospectos,830084038,830084038 - Solutions Group Sas,C3110 - Fabricación de muebles,120,$51225,$12806,$16257,$4751,$35547
prospectos,860001930,860001930 - Colegio Rochester Sas,P8513 - Educación básica primaria,120,$127875,$31969,$47716,$86407,$75149
prospectos,860006327,860006327 - Laboratorios Erma Sa,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",120,$103169,$34390,$49521,$3628,$90486
prospectos,860006965,860006965 - Pegatex Artecola Sas,C2029 - Fabricación de otros productos químicos n.c.p.,120,$460550,$92110,$153296,$191778,$211507
prospectos,890210534,890210534 - Trienergy S.A.S.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,120,$672280,$134456,$261771,$125843,$275037
prospectos,900018975,900018975 - Cass Constructores Sas,F4210 - Construcción de carreteras y vías de ferrocarril,120,$758972,$151794,$40326,$645726,$842154
prospectos,900148269,900148269 - Vicsa Steelpro Colombia Sas,G4610 - Comercio al por mayor a cambio de una retribución o por contrata,120,$249344,$49869,$86538,$3270,$142714
prospectos,900263163,900263163 - Biomedical Distribution Colombia Sl Ltda,H5210 - Almacenamiento y depósito,120,$164417,$41104,$50406,$29474,$30641
Clientes,800021599,800021599 - Colibri Flowers Sa,A0125 - Cultivo de flor de corte,110,$445671,$89134,$80759,$110132,$244337
prospectos,804010412,804010412 - Agromilenio Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",110,$1094524,$273631,$202678,$247155,$220041
prospectos,830071113,830071113 - Cosmetic Fashion Corporation Sa,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",110,$170377,$42594,$96816,$17150,$122855
prospectos,860518299,860518299 - Purificacion Y Analisis De Fluidos Sas,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,105,$184495,$46124,$64562,$46123,$43429
Clientes,900361916,900361916 - Jelm Inversiones Sas,I5612 - Expendio por autoservicio de comidas preparadas,101,$134858,$33715,$87175,$0,$19949
Clientes,800026845,800026845 - Ocati Sa,G4631 - Comercio al por mayor de productos alimenticios,100,$448035,$89607,$143940,$992,$98515
prospectos,800035606,800035606 - Campesa Sa,G4511 - Comercio de vehículos automotores nuevos,100,$240007,$120003,$43287,$66833,$44957
prospectos,800041723,800041723 - Amcor Rigid Packaging De Colombia S.A.S.,C2229 - Fabricación de artículos de plástico n.c.p.,100,$1130438,$226088,$190047,$254135,$321002
prospectos,800042867,800042867 - Metalteco Sas,C2819 - Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,100,$167997,$55999,$54397,$127,$164957
prospectos,800055116,800055116 - Calypso Del Caribe Sa,"G4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",100,$2315785,$578946,$257199,$226748,$252293
prospectos,800060530,800060530 - Alca Ltda,G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico,100,$342201,$85550,$44382,$27148,$137135
prospectos,800061512,800061512 - Basic Farm Sas,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",100,$87158,$21790,$47044,$3030,$64324
prospectos,800077552,800077552 - Serinco Drilling S.A.,"N7730 - Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",100,,,$0,$16129,$36439
prospectos,800089439,800089439 - Espumas Santander Sas,C2221 - Fabricación de formas básicas de plástico,100,$169040,$42260,$44854,$8703,$74393
prospectos,800105213,800105213 - Tractocarga Ltda,H4923 - Transporte de carga por carretera,100,,,$0,$960,$47883
prospectos,800134773,800134773 - Solinoff Corporation Sas,C3110 - Fabricación de muebles,100,$230949,$57737,$63588,$164441,$166919
